original,modified,Value
alys,aly,1
woods,wood,1
lungis,lungi,1
vests,vest,1
kids,kid,1
feathers,feather,1
dinosaurs,dinosaur,1
burs,bur,1
rates,rate,1
bosons,boson,1
nerves,nerve,1
heathers,heather,1
thumps,thump,1
crocks,crock,1
charus,charu,1
crusaders,crusader,1
clarinets,clarinet,1
cougars,cougar,1
sharpens,sharpen,1
frames,frame,1
calls,call,1
ends,end,1
shardas,sharda,1
mitts,mitt,1
gumdrops,gumdrop,1
organisers,organiser,1
diyas,diya,1
wedges,wedge,1
fillets,fillet,1
pistols,pistol,1
docks,dock,1
twisters,twister,1
bombs,bomb,1
doorways,doorway,1
salwars,salwar,1
skies,skie,1
utvs,utv,1
kiks,kik,1
comes,come,1
sprayers,sprayer,1
fillings,filling,1
pleats,pleat,1
jellys,jelly,1
caftans,caftan,1
sleepshirts,sleepshirt,1
natashas,natasha,1
pleates,pleate,1
tabletops,tabletop,1
willows,willow,1
gods,god,1
crys,cry,1
berries,berrie,1
skittles,skittle,1
birthdays,birthday,1
tissues,tissue,1
chants,chant,1
cabels,cabel,1
pants,pant,1
beans,bean,1
gyms,gym,1
grys,gry,1
panthers,panther,1
peanuts,peanut,1
cars,car,1
dumbbells,dumbbell,1
attachments,attachment,1
headlights,headlight,1
tritons,triton,1
straighteners,straightener,1
doss,dos,1
wipes,wipe,1
wallflowers,wallflower,1
tiks,tik,1
flyers,flyer,1
twins,twin,1
straws,straw,1
glows,glow,1
monos,mono,1
minerals,mineral,1
comics,comic,1
hotwheels,hotwheel,1
makes,make,1
rods,rod,1
solutions,solution,1
results,result,1
volts,volt,1
extensions,extension,1
works,work,1
chens,chen,1
books,book,1
negatives,negative,1
sprinklers,sprinkler,1
carvings,carving,1
works,work,1
chords,chord,1
connects,connect,1
foils,foil,1
marks,mark,1
curios,curio,1
metallis,metalli,1
shakers,shaker,1
details,detail,1
pastels,pastel,1
corps,corp,1
strings,string,1
wickets,wicket,1
boats,boat,1
slipons,slipon,1
inserts,insert,1
steels,steel,1
nuts,nut,1
finials,finial,1
cockatiels,cockatiel,1
flipflops,flipflop,1
beginners,beginner,1
katoris,katori,1
contents,content,1
photographs,photograph,1
hangings,hanging,1
draws,draw,1
santas,santa,1
drakes,drake,1
designers,designer,1
pampas,pampa,1
displays,display,1
jeggingss,jeggings,1
tarts,tart,1
dynamos,dynamo,1
lifes,life,1
grands,grand,1
celebrations,celebration,1
bandages,bandage,1
drivers,driver,1
hands,hand,1
monitors,monitor,1
bams,bam,1
eris,eri,1
shamrocks,shamrock,1
pices,pic,3
colours,colour,1
members,member,1
audreys,audrey,1
moods,mood,1
